created_at,entry_id,pitch,roll,acc_z,acc_y,acc_x,latitude,longitude,elevation,status
05:30,1,-7,5,-9,0,0,,,,
05:31,2,-6,3,-9,0,1,,,,
05:32,3,-1,0,-9,0,0,,,,
05:33,4,0,0,-9,1,0,,,,
05:34,5,3,-1,-10,0,0,,,,
05:35,6,-2,0,-10,0,0,,,,
05:36,7,1,4,-9,0,0,,,,
05:37,8,-4,-1,-10,0,0,,,,
05:38,9,-4,-1,-9,0,0,,,,
05:39,10,-1,0,-9,0,0,,,,
05:40,11,0,0,-9,0,0,,,,
05:41,12,-6,-2,-9,0,1,,,,
05:42,13,-7,1,-10,0,1,,,,
05:43,14,-6,0,-10,0,0,,,,
05:44,15,-4,-3,-11,0,0,,,,
05:45,16,-4,0,-10,0,0,,,,
05:46,17,-4,3,-10,0,0,,,,
05:47,18,-10,-7,-9,4,5,,,,
05:48,19,-7,2,-10,3,0,,,,
05:49,20,20,22,-9,12,1,,,,
05:50,21,17,14,-11,10,0,,,,
05:51,22,10,7,-9,8,0,,,,
05:52,23,-6,-2,-9,1,5,,,,
05:53,24,-7,1,-9,0,8,,,,
05:54,25,-6,-2,-9,5,-6,,,,
05:55,26,0,0,-10,-4,-1,,,,
05:56,27,-1,0,-10,0,0,,,,
05:57,28,-7,-4,-9,0,1,,,,
05:58,29,-6,-2,-11,1,0,,,,
05:59,30,-11,-7,-9,1,0,,,,
